Model;Specification Number;trial;Class;Comment
GPT;1;T1;2;
GPT;1;T2;2;
GPT;1;T3;2;
GPT;1;T4;2;
GPT;1;T5;2;
GPT;1;T6;2;
GPT;1;T7;2;
GPT;1;T8;2;
GPT;1;T9;2;
GPT;1;T10;2;
GPT;2;T1;2;
GPT;2;T2;2;
GPT;2;T3;2;
GPT;2;T4;2;
GPT;2;T5;2;
GPT;2;T6;2;
GPT;2;T7;2;
GPT;2;T8;2;
GPT;2;T9;2;
GPT;2;T10;2;
GPT;3;T1;1;
GPT;3;T2;1;
GPT;3;T3;1;
GPT;3;T4;1;
GPT;3;T5;1;
GPT;3;T6;1;
GPT;3;T7;1;
GPT;3;T8;1;
GPT;3;T9;1;
GPT;3;T10;1;
GPT;4;T1;4;
GPT;4;T2;1;
GPT;4;T3;4;
GPT;4;T4;1;
GPT;4;T5;1;
GPT;4;T6;1;
GPT;4;T7;1;
GPT;4;T8;1;
GPT;4;T9;1;
GPT;4;T10;1;
GPT;5;T1;1;
GPT;5;T2;3;
GPT;5;T3;1;
GPT;5;T4;3;
GPT;5;T5;1;
GPT;5;T6;1;
GPT;5;T7;3;
GPT;5;T8;1;
GPT;5;T9;1;
GPT;5;T10;1;
GPT;6;T1;2;
GPT;6;T2;2;
GPT;6;T3;2;
GPT;6;T4;2;
GPT;6;T5;2;
GPT;6;T6;2;
GPT;6;T7;2;
GPT;6;T8;2;
GPT;6;T9;2;
GPT;6;T10;2;
GPT;7;T1;2;
GPT;7;T2;2;
GPT;7;T3;1;
GPT;7;T4;2;
GPT;7;T5;2;
GPT;7;T6;2;
GPT;7;T7;2;
GPT;7;T8;2;
GPT;7;T9;2;
GPT;7;T10;2;
GPT;8;T1;1;
GPT;8;T2;1;
GPT;8;T3;1;
GPT;8;T4;1;
GPT;8;T5;1;
GPT;8;T6;1;
GPT;8;T7;1;
GPT;8;T8;1;
GPT;8;T9;1;
GPT;8;T10;1;
Claude;1;T1;2;
Claude;1;T2;2;
Claude;1;T3;2;
Claude;1;T4;2;
Claude;1;T5;2;
Claude;1;T6;2;
Claude;1;T7;2;
Claude;1;T8;2;
Claude;1;T9;2;
Claude;1;T10;2;
Claude;2;T1;2;
Claude;2;T2;2;
Claude;2;T3;2;
Claude;2;T4;2;
Claude;2;T5;2;
Claude;2;T6;2;
Claude;2;T7;2;
Claude;2;T8;2;
Claude;2;T9;2;
